"","X","Country","Code","Indicator","Icode","X2015","X2016","X2017","X2018","X2019","X2020"
"5332",229470,"St. Kitts and Nevis",361,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFPAE_BP6_USD",19274243.7037037,59616928.8888889,5090258.14814815,5294173.1962963,9373136.43333333,-23759918.5185185
"5333",229472,"St. Kitts and Nevis",361,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, US Dollars","BFPA_BP6_USD",62399240.2222222,28611690.589418,34546911.6259259,6404907.03703704,52816246.2148148,29574923.8111111
"5334",229521,"St. Kitts and Nevis",361,"Financial Account, Other Investment, Loans, Net Acquisition of Financial Assets, US Dollars","BFOLNA_BP6_USD",-1527243.30740741,3367252.84814815,-3102966.74740741,-3329480.6362963,-3568270.67111111,1309996.0962963
"5335",229563,"St. Kitts and Nevis",361,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, Other Long-term, US Dollars","BFOLNLG_L_BP6_USD",-22800702.9888889,-15935066.9003704,-3981639.84814815,-9090530.95555555,-6260174.51481481,-5640601.36296296
"5336",229566,"St. Kitts and Nevis",361,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, US Dollars","BFOLNLG_BP6_USD",-60607729.9148148,-24817604.6781481,-3981639.84814815,-9090530.95555555,-6260174.51481481,-5640601.36296296
"5337",229673,"St. Kitts and Nevis",361,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, US Dollars","BFOLNLO_BP6_USD",2980320.97407407,-4773444.04074074,1372415.72222222,3192016.15185185,13252394.7851852,8030849.99259259
"5338",229674,"St. Kitts and Nevis",361,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",-57627408.9407407,-29591048.7188889,-2609224.12592593,-5898514.8037037,6992220.27037037,22409507.8888889
"5339",229675,"St. Kitts and Nevis",361,"Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",56100165.6333333,32958301.567037,-493742.621481481,2569034.16740741,-10560490.9414815,-21099511.7925926
"5340",229740,"St. Kitts and Nevis",361,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, Long-term, US Dollars","BFOLNLO_L_BP6_USD",2661344.67777778,-5092420.33703704,1053439.42592593,3032528.0037037,12912552.7851852,8872597.02962963
"5341",229766,"St. Kitts and Nevis",361,"Capital Account, Total, Credit, US Dollars","BK_CD_BP6_USD",49912645.6851852,48586612.2959259,44151210.956,52770092.4017185,69986901.8518519,45952992.5925926
"5342",229779,"St. Kitts and Nevis",361,"Capital Account, Total, Debit, US Dollars","BK_DB_BP6_USD",0,0,0,0,0,0
"5343",229781,"St. Kitts and Nevis",361,"Capital Account, Total, Net, US Dollars","BK_BP6_USD",49912645.6851852,48586612.2959259,44151210.956,52770092.4017185,69986901.8518519,45952992.5925926
"5344",229783,"St. Kitts and Nevis",361,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",530678758.059578,503202697.385015,505234862.917711,583322898.6867,553522801.994126,353960799.713664
"5345",229785,"St. Kitts and Nevis",361,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",526520400.87933,555516470.38413,542284982.945841,582351622.38637,600979874.570348,430262882.594652
"5346",229826,"St. Kitts and Nevis",361,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Debt Securities, US Dollars","BFPAD_BP6_USD",43124996.5185185,-31005238.2994709,29456653.4777778,1110733.84074074,43443109.7814815,53334842.3296296
"5347",230630,"St. Lucia",362,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",842651487.6277,925514054.790437,957855009.514844,986276306.452115,970418733.013374,666968354.411263
"5348",230632,"St. Lucia",362,"Capital Account, Total, Net, US Dollars","BK_BP6_USD",14030200.5592593,13910052.0777778,12527623.5407407,12786092.0925926,34327947.4074074,23987592.5925926
"5349",230651,"St. Lucia",362,"Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",60821603.6034287,-11512982.979651,15391686.0817453,-35688484.5688852,-25061887.716992,-29791185.3876637
"5350",230652,"St. Lucia",362,"Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",1642570.15242622,-107860296.864884,-27096643.2712631,41455777.3902625,150340609.222616,-207931504.486236
"5351",230653,"St. Lucia",362,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",1642570.15242621,-107860296.864883,-27096643.2712631,41455777.3902655,150340609.222613,-207931504.486237
"5352",230690,"St. Lucia",362,"Supplementary Items, Portfolio Investment, Net Incurrence of Liabilities (Excluding Exceptional Financing), US Dollars","BFPLXF_BP6_USD",-16900038.1997864,34566229.2592593,75904953.3333333,8268702.96296296,-966037.037037037,-15696657.4074074
"5353",230699,"St. Lucia",362,"Supplementary Items, Reserve Position in the Fund (with Fund Record), US Dollars","BFRAIMFFR_BP6_USD",0,2124354.91233854,0,0,0,0
"5354",230711,"St. Lucia",362,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFPAE_BP6_USD",-766398.585185185,13641511.4777778,-4457722.77407407,-11561315.3888889,-7554791.11111111,51768703.7037037
"5355",230715,"St. Lucia",362,"Capital Account, Capital Transfers, Credit, US Dollars","BKT_CD_BP6_USD",14030200.5592593,13910052.0777778,12527623.5407407,12786092.0925926,34327947.4074074,23987592.5925926
