"X.1","X","Country","Code","Indicator","Icode","X2015","X2016","X2017","X2018","X2019","X2020"
103,443,"Azerbaijan, Rep. of",912,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",1346831000,-9349000,661997000,-63178000,-546868000,-652064000
104,444,"Azerbaijan, Rep. of",912,"Financial_Loans_Total","BFOLN_BP6_USD",-1200050000,2224000,-695837000,209061000,558731000,344930000
105,445,"Azerbaijan, Rep. of",912,"Transport_Services_Credit","BXSTR_BP6_USD",1518285000,1095425000,971396000,1223822000,1107970260,1644680000
106,446,"Azerbaijan, Rep. of",912,"Current_Account_Debit","BMGS_BP6_USD",18446480000,16526981000,17105068000,17705199000,17712459100,15537819000
107,452,"Azerbaijan, Rep. of",912,"Current_Account_Credit","BXGS_BP6_USD",20030038000,17578801000,19840498000,25484473000,23629741260,15208753000
108,453,"Azerbaijan, Rep. of",912,"Transport_Services_Debit","BMSTR_BP6_USD",1009650000,919389000,1048362000,1520870000,1458446100,1301987000
109,580,"Bangladesh",513,"Current_Account_Credit","BXGS_BP6_USD",34969256094,37662675682,39170435004,44128038982,44961040130,38475972660
110,581,"Bangladesh",513,"Current_Account_Debit","BMGS_BP6_USD",45575754269,48167978224,56764922840,65585208867,64233645991,56776357566
111,584,"Bangladesh",513,"Financial_Loans_Total","BFOLN_BP6_USD",-1918901602,-2780322000,-5909377313,-7549554140,-5833156004,-7465694006
112,586,"Bangladesh",513,"Supplementary_Current_Capital","BTCC_BP6_USD",3021824582,1358770732,-5692036912,-6831007539,-2720538656,1406228336
113,591,"Bangladesh",513,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",1918901602,2780322000,5909377313,7549554140,5833156004,7512698538
114,594,"Bangladesh",513,"Transport_Services_Debit","BMSTR_BP6_USD",5773877083,5405106106,5747729492,5653150385,5685843196,5066458723
115,599,"Bangladesh",513,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",5626581230,5076013421,615390816.4,-1109126382,521619694.5,9885137701
116,600,"Bangladesh",513,"Transport_Services_Credit","BXSTR_BP6_USD",401361515.2,417987433.8,488604340.2,655622568.2,621630551.9,685375451
117,601,"Bangladesh",513,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",3021824582,1358770732,-5692036912,-6831007539,-2720538656,1406228336
118,641,"Belarus, Rep. of",913,"Current_Account_Credit","BXGS_BP6_USD",32854100000,29983700000,36595400000,42267800000,41974900000,37183200000
119,642,"Belarus, Rep. of",913,"Current_Account_Debit","BMGS_BP6_USD",32721700000,29992500000,36495300000,41338700000,42377900000,35235600000
120,645,"Belarus, Rep. of",913,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",-1826500000,-1605300000,-950900000,43300000,-1210900000,-171100000
121,648,"Belarus, Rep. of",913,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",1578200000,-823900000,81800000,1079200000,369600000,94500000
122,649,"Belarus, Rep. of",913,"Financial_Loans_Total","BFOLN_BP6_USD",-1.456e+09,840100000,-7.5e+07,-4.97e+08,-302300000,4600000
123,650,"Belarus, Rep. of",913,"Transport_Services_Debit","BMSTR_BP6_USD",1269300000,1336900000,1599100000,1.832e+09,1945600000,1763600000
124,652,"Belarus, Rep. of",913,"Transport_Services_Credit","BXSTR_BP6_USD",2984500000,2988400000,3520200000,3923400000,4018600000,3677900000
125,665,"Belarus, Rep. of",913,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",-620093160.9,482584272.1,2063704500,-106669965.2,1800837886,-2679097906
126,667,"Belarus, Rep. of",913,"Supplementary_Current_Capital","BTCC_BP6_USD",-1826500000,-1605300000,-950900000,43300000,-1210900000,-171100000
127,668,"Belgium",124,"Supplementary_Current_Capital","BTCC_BP6_USD",6426384697,3122421245,4274544367,-4323444077,1272168278,5408530574
128,669,"Belgium",124,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",-1074868079,-1011795232,1232746048,859775276.8,55223619.26,1029053095
129,682,"Belgium",124,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",6426384697,3123462507,4273329647,-4325776980,1269920565,5410959881
130,684,"Belgium",124,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",1819539013,14538613275,-24602287764,3650087007,7753086265,3777336585
131,685,"Belgium",124,"Financial_Loans_Total","BFOLN_BP6_USD",-3020537324,-14077571479,24083236186,-3730607161,-7454112179,-7077047819
132,692,"Belgium",124,"Transport_Services_Credit","BXSTR_BP6_USD",22695906060,22291016757,24418217025,26237923240,25457314342,24972953551
133,693,"Belgium",124,"Transport_Services_Debit","BMSTR_BP6_USD",23277586131,24204875589,27001100641,28457563657,26324963424,24161459603
134,695,"Belgium",124,"Current_Account_Credit","BXGS_BP6_USD",3.59684e+11,3.77941e+11,4.18158e+11,4.51405e+11,4.41566e+11,4.17222e+11
135,696,"Belgium",124,"Current_Account_Debit","BMGS_BP6_USD",3.53183e+11,3.72254e+11,4.12898e+11,4.53057e+11,4.38221e+11,4.08343e+11
136,700,"Belize",339,"Transport_Services_Debit","BMSTR_BP6_USD",70068176.16,67619165.84,67541021,66496851.17,62354488.54,64252614.82
137,701,"Belize",339,"Transport_Services_Credit","BXSTR_BP6_USD",25021970.61,27977237.39,29366237.39,25181227.39,28679227.39,28461237.39
138,704,"Belize",339,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",-103672092.7,-59240683.65,-66700187,-16921256.29,-17526962.53,68724695.99
139,710,"Belize",339,"Current_Account_Credit","BXGS_BP6_USD",1033644192,968526944.2,1030908165,1071298552,1102475875,714623553.5
140,711,"Belize",339,"Current_Account_Debit","BMGS_BP6_USD",1182622393,1131810777,1087886311,1155093354,1203192599,901818661.9
141,712,"Belize",339,"Supplementary_Current_Capital","BTCC_BP6_USD",-166142925.3,-130480303.4,-148867811.6,-126782113,-174306141.6,-113646287.2
142,716,"Belize",339,"Financial_Loans_Total","BFOLN_BP6_USD",-17741796.24,-436989.2988,-55142859.02,-8920565.064,-19158325.25,-130646559
143,720,"Belize",339,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",-166142925.3,-130480303.4,-148867811.6,-126782113,-174306141.6,-113646287.2
144,723,"Belize",339,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",17741796.24,436989.2988,55142859.02,8920565.064,19158325.25,130646559
145,730,"Benin",638,"Financial_Loans_Total","BFOLN_BP6_USD",-578194919.3,-50179409.79,-521202414.7,-569559199.1,-14148354.79,-996202942.1
146,737,"Benin",638,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",583967640,-33992590.5,622268337.1,520270848.1,262481485.5,871657671.7
147,745,"Benin",638,"Current_Account_Credit","BXGS_BP6_USD",2736492200,3189693705,3314328545,3847619384,3584933958,3506194080
148,746,"Benin",638,"Current_Account_Debit","BMGS_BP6_USD",3493292685,3715712760,4017845451,4668665793,4306601255,3941918100
149,748,"Benin",638,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",-553835962.8,-216597754.5,-334898371.8,-452321202.5,-377104946,-98964198.83
150,749,"Benin",638,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",71186690.34,-574499642.2,471881142.4,258045586.2,50230251.8,466736291.4
