"","Country","Code","Indicator","Icode","2015","2016","2017","2018","2019","2020"
"186","Anguilla",312,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, US Dollars","BFPA_BP6_USD",2441862.593,3131468.607,5986662.863,10912172.52,85195345.66,119159385.5
"187","Anguilla",312,"Capital Account, Total, Credit, US Dollars","BK_CD_BP6_USD",1385371.022,867225.4963,11330958.27,12674074.07,0,3611497.574
"188","Anguilla",312,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",12441186.12,15274775.54,16446361.42,12225257.59,12824980.79,7208553.414
"189","Anguilla",312,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, US Dollars","BFOLNLG_BP6_USD",-1991677.407,16705160.11,-5328022.644,9694208.807,-5035216.011,-5687350.978
"190","Anguilla",312,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, Other Long-term, US Dollars","BFOLNLG_L_BP6_USD",-1991677.407,16705160.11,-5328022.644,9694208.807,-5035216.011,-5687350.978
"191","Anguilla",312,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, Long-term, US Dollars","BFOLNLO_L_BP6_USD",1517806.478,2352889.459,-533274.6074,3310714.626,-729168.8037,-274008.1444
"192","Anguilla",312,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",-10145125.04,-27995253.4,-5861297.252,13004923.43,-5764384.815,-5961359.122
"193","Anguilla",312,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, US Dollars","BFOLNLO_BP6_USD",1509940.922,2352889.459,-533274.6074,3310714.626,-729168.8037,-274008.1444
"194","Anguilla",312,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, US Dollars","BFDA_BP6_USD",23374180.09,4759383.268,-3889555.441,21401764.11,6901508.048,1089514.326
"195","Anguilla",312,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, US Dollars","BFDLD_BP6_USD",28299445.79,34617542.2,11443826.78,31274994.43,9062972.241,21328721.77
"196","Anguilla",312,"Financial Account, Other Investment, Loans, Net Acquisition of Financial Assets, US Dollars","BFOLNA_BP6_USD",39451744.07,515627720.4,157497953.6,-85646234.48,-409241684.4,-88252526.85
"197","Anguilla",312,"Capital Account, Capital Transfers, Credit, US Dollars","BKT_CD_BP6_USD",1385371.022,867225.4963,11330958.27,12674074.07,0,3611497.574
"198","Anguilla",312,"Capital Account, Capital Transfers, Net, US Dollars","BKT_BP6_USD",1385371.022,867225.4963,2071699.011,-1244948.398,-589250,3533815.873
